ID,Header,Content,Time,Time since occasion,Comments,Likes,Link,label,news refutation,Topic
1,"В одном из ресторанов Нью-Йорка появится ""пятиэтажный"" бургер, названный в честь Путина","Нью-йоркский ресторан Lucy's Cantina Royale будет подавать 7 октября по случаю дня рождения президента России Владимира Путина особый ""пятиэтажный"" гамбургер.
Острый и сочный
Гамбургер, в частности, готовится с использованием нескольких котлет из говядины высокого качества, острого майонеза, острого соуса шрирача, а также смеси кориандра и лука.
Попробовать сэндвич можно только раз в году - в день рождения президента РФ.
Бургер, названный в честь главы российского государства, примерно в шесть раз превосходит по размеру обычные сэндвичи и отличается сочностью, обычно его подают с острым картофелем фри. В ресторане существует правило, согласно которому посетитель может не платить за этот бургер, если съест его за 30 минут. В противном случае стоимость блюда составит почти $30.
Только раз в году
""Мы считаем, что Владимир Владимирович - выдающийся политик и историческая личность, поэтому решили один день в году посвятить именно ему"", - сказала главный бармен заведения Дарья Пауто. 
По словам Пауто, масса сэндвича составляет примерно 1952 грамма. ""Собственно говоря, это год рождения президента"", - констатировала она. По мнению Пауто, если в обычном сэндвиче порядка 600 калорий, то в бургере ""Владимир Путин"" их примерно в шесть раз больше.
Бармен также рассказала, что посетители нередко заказывают вместе с названным в честь Путина блюдом особый коктейль ""Маргарита"" с добавлением французского коньяка. ""Он помогает расщеплять жиры и способствует усваиванию тяжелой пищи"", - отметила она.
Несмотря на размер и остроту, справиться с бургером за 30 минут удается большинству из тех, кто его заказывает. ""Где-то 90% съедают его бесплатно"", - указала Пауто. По ее наблюдениям, посетители, которые рассчитывают сделать это, зачастую специально приходят в ресторан очень голодными.
Lucy's Cantina Royale находится в центре нью-йоркского района Манхэттен. Меню ресторана состоит по большей части из блюд, характерных для латиноамериканских стран. Иной еды, как-либо связанной с Россией, помимо гамбургера ""Владимир Путин"", в заведении не подают.
Комментарий Пескова
Между тем сообщение о выпуске бургера в честь российского лидера иронично прокомментировал пресс-секретарь президента РФ Дмитрий Песков.
""Мы в администрации занимаемся разными делами. До бургеров руки еще не дошли"", - отметил он.",6/10/2017,,,,https://tass.ru/obschestvo/4625856,fake,,Политика
2,Экс-глава МИ-6 рассказал о провальном плане западных стран по развалу России,"Бывший глава британской разведки МИ-6 Джон Скарлетт раскрыл детали стратегического плана, который был якобы направлен на развал России. Об этом он рассказал в интервью изданию The Guardian. Впоследствии статья была удалена с сайта издания, но по-прежнему доступна для просмотра в кэше.
""Самый проработанный стратегический план США и Великобритании по развалу России за последние несколько лет закончился неудачей"", – рассказал Скарлетт.
По словам Скарлетта, западные страны планировали развернуть военные и разведывательные базы на территории Южной Осетии после прихода к власти Саакашвили. В дальнейшем планировалось привлечь к дестабилизации обстановки радикальных исламистов.
""К сожалению, война 2008 года в Грузии стала железным кулаком Москвы против нашего самого большого стратегического плана на Кавказе"", – поведал экс-глава разведки.
Кроме того, планировались шаги по организации баз на территории Украины. Скарлетт рассказал, что также представители западных государств якобы рассчитывали на ""фиктивную войну"" России с Украиной.
При этом он отметил, что Москве удалось успешно преодолеть все расставленные препятствия и обезопасить страну от воздействия Великобритании и США.",15/08/2017,,,,http://ren.tv/novosti/2017-08-15/eks-glava-mi-6-rasskazal-o-provalnom-plane-zapadnyh-stran-po-razvalu-rossii,fake,,Политика
3,Умерла нобелевский лауреат по литературе Светлана Алексиевич,"Нобелевский лауреат по литературе Светлана Алексиевич скончалась на 69-м году жизни. Об этом сообщила министр культуры Франции Франсуаз Ниссен в своем Twitter.
Белорусская писательница получила Нобелевскую премию в 2015 году с формулировкой «за многоголосое звучание прозы и увековечивание страдания и мужества».
Алексиевич приобрела известность после публикации художественно-документальной книги «У войны не женское лицо». Ее перу также принадлежат произведения «Цинковые мальчики», «Чернобыльская молитва», «Время секонд-хэнд» и другие.
Литератор активно участвовала в общественной жизни, ей принадлежат спорные политические высказывания. К примеру, в июне 2016 года в Нью-Йорке она сказала, что в годы войны хуже всего к евреям относились поляки. Также Алексиевич, ссылаясь на знакомого журналиста из Польши, заявила, что местные ксендзы во время проповедей призывали убивать евреев. МИД Польши резко раскритиковал писательницу за эти слова.",18/05/2017,,,,https://lenta.ru/news/2017/05/18/alex_nob/,fake,https://ria.ru/culture/20170518/1494556111.html,Знаменитости
4,,"· 
Last week, the Syrian Arab Army supported by the Russian Aerospace Forces has liberated Abu Kamal. The operation ascertained facts of direct cooperation and support provided by the US-led coalition to the ISIS terrorists. 
The ISIS numerous armed formations fleeing strikes of Russian aircraft and the Syrian Arab Army were leaving Abu Kamal for Wadi al-Sabha passage located at Syrian-Iraqi border.
Command staff of the Russian force grouping in Syria sent two requests to the US-led coalition HQ to hold combined operation in order to eliminate fleeing ISIS convoys on eastern shore of the Euphrates. 
The American side clearly refused to carry out strikes on terrorists because ‘militants surrendered voluntarily’ and their actions were assessed in accordance with the provisions of the Geneva Convention relative to the Treatment of Prisoners of War. 
However, the American side has failed to answer the question asked by the Russian side: why the ISIS terrorists left Syria on combat vehicles with heavy armament were regrouping in the coalition-controlled territories and preparing for new attacks against the SAA near Abu Kamal.
Moreover, in order to allow the terrorists to hide from Russian and Syrian strikes, the coalition’s aircraft tried to interfere with the Russian Aerospace Forces’ actions in the area. 
The US-led Coalition Air Force entered the 15-km zone around Abu Kamal to interrupt operation of the Russian aircraft. 
Though the flight ban for the US-led coalition in the zone has been earlier agreed and approved by the Combined Air Operations Center in al-Udeid, Qatar.
With these actions by the US-led coalition, it is clear that offensive of the SAA towards Abu Kamal has upset the US plans to establish the US-supported authorities beyond the Syrian government’s power in order to control the eastern shore of the Euphrates. 
At the same time, it was the ISIS units that should have acted as local US-backed forces which control the city. The SDF formations’ flags found in Abu Kamal prove that the ISIS militants had disguised in colors of the SDF.
This is the irrefutable evidence that there is no struggle against terrorism as the whole global community believes. The US are actually covering the ISIS combat units to recover their combat capabilities, redeploy, and use them to promote the American interests in the Middle East.",14/11/2017,,,,https://www.facebook.com/mod.mil.rus/posts/2007062896203123,fake,,Сирия
5,"Путин превзошел Обаму на ГА ООН, думают 96% участников опроса NY Daily","Большинство участников опроса, размещенного на сайте американской газеты New York Daily News, считают, что речь российского президента на Генеральной Ассамблее ООН прозвучала убедительнее.
МОСКВА, 2 окт — РИА Новости. Более 95% участников опроса на сайте американской газеты New York Daily News считают, что во время выступления на Генассамблее ООН в Нью-Йорке президент России Владимир Путин звучал убедительнее президента США Барака Обамы.
Опрос проводится уже в течение четырех дней. Результаты опроса, полученные на данный момент, указывают на то, что Путин заручился поддержкой 96% от всего количества проголосовавших.
Газета сопроводила опрос статьей, в которой приводит примеры из выступлений лидеров двух стран, в которых они так или иначе противоречат друг другу или критикуют позиции коллеги. В частности, упомянуты их разногласия по ряду тем, среди них — ситуация в Сирии, права человека, события на Украине, присоединение Крыма к РФ и другие.
Издание назвало выступления президентов ""речами-дуэлями"".

Среди прочего приводится и реплика Путина в интервью телеканалу CBS, где он раскритиковал подготовку США сирийских повстанцев, в ходе которой из изначально предполагавшегося количества в 12 тысяч повстанцев обучены были лишь 60, многие из которых перешли на сторону радикальных исламистов.",0/10/2015,,,,https://ria.ru/world/20151002/1295551989.html,fake,https://noodleremover.news/96-%D1%87%D0%B8%D1%82%D0%B0%D1%82%D0%B5%D0%BB%D0%B5%D0%B9-%D0%B0%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0%D0%BD%D1%81%D0%BA%D0%BE%D0%B9-%D0%B3%D0%B0%D0%B7%D0%B5%D1%82%D1%8B-%D0%B7%D0%B0-%D0%BF%D1%83%D1%82%D0%B8%D0%BD%D0%B0-%D0%B8%D0%BB%D0%B8-%D0%BA%D0%B0%D0%BA-%D0%B7%D0%B0-%D0%B3%D0%BE%D0%B4-%D1%83%D0%B3%D1%80%D0%BE%D0%B1%D0%B8%D1%82%D1%8C-%D0%BA%D1%80%D1%83%D0%BF%D0%BD%D0%B5%D0%B9%D1%88%D0%B5%D0%B5-%D0%BD%D0%BE%D0%B2%D0%BE%D1%81%D1%82%D0%BD%D0%BE%D0%B5-%D0%B0%D0%B3%D0%B5%D0%BD%D1%82%D1%81-62249fc2c8aa,Политика
6,Врач скорой помощи назвал реальное количество жертв,"На митинге Кемерово выступил врач скорой помощи:«более 300 человек,все морги заполнены, 70% детей погибло. я врач линейной бригады скорой помощи»",27/03/2018,,,,https://twitter.com/Rhymeslive/status/978590256026079232,fake,,Трагедия в кемерово
7,,"На самом деле погибло более 300 человек, в основном дети..
Все скрывается! 
Нет слов, одни эмоции. Слёзы наворачиваются при мысли об этой трагедии. 😢",26/03/2018,,,,https://twitter.com/pr_flame/status/978274118092165120,fake,,Трагедия в кемерово
8,,"По последним данным число погибших в Кемеровском ТЦ ""Зимняя вишня"" более 300 человек, а не 174 как сообщалось ранее. #Кемерово
я читаю всё это и плачу",26/03/2018,,,,https://twitter.com/_XPAM_BETPA/status/978233772578689024,fake,,Трагедия в кемерово
9,,"""Морги заполнены. На сегодня - больше 300 человек. 70 процентов детей погибло"", - врач скорой на митинге в Кемерово. ВИДЕО",27/03/2018,,,,https://twitter.com/censor_net/status/978631378614083584,fake,,Трагедия в кемерово
10,,Сотрудницы нью-йоркского ресторана вместе с RT обманом сняли сюжет про «Путинбургер». Их отстранили от работы,8/10/2017,,,,https://twitter.com/meduzaproject/status/917129458523533312,refutation,,Путинбургер
